Date,Open,High,Low,Close,Adj Close,Volume
2019-08-17,10358.722656,10452.625000,10086.698242,10231.744141,10231.744141,13778035685
2019-08-18,10233.005859,10487.070313,10119.094727,10345.810547,10345.810547,12999813869
2019-08-19,10350.283203,10916.053711,10313.204102,10916.053711,10916.053711,16038264603
2019-08-20,10916.346680,10947.041992,10618.960938,10763.232422,10763.232422,15053082175
2019-08-21,10764.572266,10798.729492,9962.721680,10138.049805,10138.049805,19473084767
2019-08-22,10142.521484,10232.996094,9831.462891,10131.055664,10131.055664,17097508856
2019-08-23,10136.309570,10442.443359,10078.192383,10407.964844,10407.964844,15627023886
2019-08-24,10407.644531,10418.020508,9982.296875,10159.960938,10159.960938,15451030650
2019-08-25,10160.737305,10304.622070,10008.789063,10138.517578,10138.517578,14153856609
2019-08-26,10126.299805,10512.328125,10126.299805,10370.820313,10370.820313,18438654079
2019-08-27,10372.826172,10381.328125,10087.300781,10185.500000,10185.500000,14762609502
2019-08-28,10203.426758,10279.366211,9716.656250,9754.422852,9754.422852,17603790323
2019-08-29,9756.786133,9756.786133,9421.629883,9510.200195,9510.200195,17045878500
2019-08-30,9514.844727,9656.124023,9428.302734,9598.173828,9598.173828,13595263986
2019-08-31,9597.539063,9673.220703,9531.799805,9630.664063,9630.664063,11454806419
2019-09-01,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859
2019-09-02,9757.473633,10396.591797,9730.650391,10346.760742,10346.760742,17248102293
2019-09-03,10345.725586,10736.104492,10308.547852,10623.540039,10623.540039,19384917988
2019-09-04,10621.180664,10762.644531,10434.709961,10594.493164,10594.493164,16742664768
2019-09-05,10588.183594,10627.269531,10516.417969,10575.533203,10575.533203,14551239507
2019-09-06,10578.198242,10898.761719,10292.299805,10353.302734,10353.302734,19536574782
2019-09-07,10353.931641,10558.673828,10348.918945,10517.254883,10517.254883,15307366476
2019-09-08,10518.114258,10595.637695,10409.090820,10441.276367,10441.276367,13670567492
2019-09-09,10443.228516,10450.311523,10144.929688,10334.974609,10334.974609,17595943367
2019-09-10,10336.408203,10394.353516,10020.573242,10115.975586,10115.975586,14906809639
2019-09-11,10123.035156,10215.948242,9980.776367,10178.372070,10178.372070,15428063426
2019-09-12,10176.819336,10442.253906,10099.242188,10410.126953,10410.126953,15323563925
2019-09-13,10415.362305,10441.489258,10226.596680,10360.546875,10360.546875,14109864674
2019-09-14,10345.403320,10422.133789,10291.694336,10358.048828,10358.048828,13468713124
2019-09-15,10356.465820,10387.035156,10313.092773,10347.712891,10347.712891,12043433567
2019-09-16,10347.222656,10386.867188,10189.744141,10276.793945,10276.793945,15160167778
2019-09-17,10281.513672,10296.771484,10199.739258,10241.272461,10241.272461,15304603363
2019-09-18,10247.795898,10275.928711,10191.469727,10198.248047,10198.248047,16169268880
2019-09-19,10200.496094,10295.668945,9851.692383,10266.415039,10266.415039,19937691247
2019-09-20,10266.318359,10285.872070,10132.186523,10181.641602,10181.641602,14734189639
2019-09-21,10183.648438,10188.097656,10000.708008,10019.716797,10019.716797,13425266806
2019-09-22,10024.115234,10074.444336,9922.533203,10070.392578,10070.392578,13199651698
2019-09-23,10067.962891,10074.238281,9727.143555,9729.324219,9729.324219,15144925408
2019-09-24,9729.321289,9804.317383,8370.801758,8620.566406,8620.566406,25002886688
2019-09-25,8603.428711,8744.828125,8325.396484,8486.993164,8486.993164,21744728352
2019-09-26,8487.669922,8515.685547,7895.629395,8118.967773,8118.967773,19258205289
2019-09-27,8113.101074,8271.520508,7965.922852,8251.845703,8251.845703,16408941155
2019-09-28,8251.273438,8285.617188,8125.431641,8245.915039,8245.915039,14141152736
2019-09-29,8246.037109,8261.707031,7990.497070,8104.185547,8104.185547,13034629108
2019-09-30,8104.226563,8314.231445,7830.758789,8293.868164,8293.868164,17115474183
2019-10-01,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343412
2019-10-02,8344.212891,8393.041992,8227.695313,8393.041992,8393.041992,13125712442
2019-10-03,8390.774414,8414.227539,8146.437012,8259.992188,8259.992188,13668823409
2019-10-04,8259.494141,8260.055664,8151.236816,8205.939453,8205.939453,13139456229
2019-10-05,8210.149414,8215.526367,8071.120605,8151.500488,8151.500488,12200497197
2019-10-06,8149.876953,8161.410156,7958.850586,7988.155762,7988.155762,13160830305
2019-10-07,7989.120605,8308.450195,7905.766113,8245.623047,8245.623047,18009742607
2019-10-08,8246.849609,8332.714844,8185.763184,8228.783203,8228.783203,15592264032
2019-10-09,8229.840820,8627.706055,8169.298828,8595.740234,8595.740234,19384942333
2019-10-10,8585.280273,8625.272461,8471.933594,8586.473633,8586.473633,17618660671
2019-10-11,8585.262695,8721.780273,8316.181641,8321.756836,8321.756836,19604381101
2019-10-12,8315.665039,8415.242188,8313.340820,8336.555664,8336.555664,14532641604
2019-10-13,8336.902344,8470.988281,8276.612305,8321.005859,8321.005859,13808286058
2019-10-14,8320.832031,8390.208984,8284.130859,8374.686523,8374.686523,15151387859
2019-10-15,8373.458008,8410.714844,8182.706543,8205.369141,8205.369141,15220412631
2019-10-16,8204.674805,8216.812500,7985.089844,8047.526855,8047.526855,16071646995
2019-10-17,8047.812500,8134.831543,8000.942871,8103.911133,8103.911133,14313052244
2019-10-18,8100.933594,8138.413574,7902.164063,7973.207520,7973.207520,15651592610
2019-10-19,7973.803711,8082.629395,7944.776855,7988.560547,7988.560547,13797825640
2019-10-20,7997.807129,8281.818359,7949.439453,8222.078125,8222.078125,15504249442
2019-10-21,8225.115234,8296.694336,8196.416016,8243.720703,8243.720703,15868748865
